时间,2月4日,,,,,,,,,,,,,,,,,
省份,甘肃省,,,,,,,,,,,,,,,,,
累计确诊病例,57,重症,7,危重,3,死亡,0,出院,4,,,,,,,,,
确诊病例中,兰州市,27,白银市,1,临夏州,3,定西市,2,张掖市,2,陇南市,4,金昌市,1,天水市,10,平凉市,1,庆阳,1,甘南,1
重症病例中,,,,,,,,,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,,,
出院病例中,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,1784,解除医学观察,475,正在接受医学观察,1309,疑似病例,-1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
原始数据链接1,http://wsjk.gansu.gov.cn/single/10910/83666.html,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
备注：,,,,,,,,,,
1. 把实际的数值填入到？的地方，没有相关的数据填0,,,,,,,,,,
2. 有些省市描述外地来访的确诊病例，使用“其他区”代替,,,,,,,,,,
3. 第4、5、6、7、8、9行的数据没有的情况下，不填相应的数据，重症、危重、死亡、出院等没有详情的数据时该行不可删除,,,,,,,,,,
4. 把原文链接放到第15行起，有多个链接放多行,,,,,,,,,,
5. 各自治区、特区用简称代替全称，包括：新疆、西藏、内蒙古、宁夏、广西、香港、澳门,,,,,,,,,,
6. 2020-02-01起，对于没有找到的第3、9行数据，用-1代替空格，包括：重症、危重、死亡、出院、密切接触者、解除医学观察、正在观察、疑似病例人数,,,,,,,,,,
