时间,2月10日,,,,,,,,,,,,,,,
省份,贵州省,,,,,,,,,,,,,,,
累计确诊病例,118,重症,13,危重,7,死亡,1,出院,10,,,,,,,,
确诊病例中,贵阳市,29,遵义市,23,六盘水市,10,安顺市,4,毕节市,21,铜仁市,9,黔东南州,10,黔南州,8,黔西南州,4
重症病例中,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,
出院病例中,贵阳市,1,遵义市,1,铜仁市,5,黔南州,,3,,,,,,,,
累计追踪密切接触者,1763,解除医学观察,902,正在接受医学观察,791,疑似病例,67,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
原始数据链接1,http://www.gzhfpc.gov.cn/xwzx_500663/zwyw/202002/t20200211_48345381.html,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
备注：,,,,,,,,,,
1. 把实际的数值填入到？的地方，没有相关的数据填0,,,,,,,,,,
2. 有些省市描述外地来访的确诊病例，使用“其他区”代替,,,,,,,,,,
3. 第4、5、6、7、8、9行的数据没有的情况下，不填相应的数据，重症、危重、死亡、出院等没有详情的数据时该行不可删除,,,,,,,,,,
4. 把原文链接放到第15行起，有多个链接放多行,,,,,,,,,,
5. 各自治区、特区用简称代替全称，包括：新疆、西藏、内蒙古、宁夏、广西、香港、澳门,,,,,,,,,,
6. 2020-02-01起，对于没有找到的第3、9行数据，用-1代替空格，包括：重症、危重、死亡、出院、密切接触者、解除医学观察、正在观察、疑似病例人数,,,,,,,,,,